source,site,lon,lat,zone
REPHY,Cap Lévi,-1.4562071654,49.704401124,BAY_OF_SEINE
REPHY,Le Tunard,-1.8265477309,49.7028966793,NA
REPHY,Gruchy,-1.7833799785,49.6943969646,NA
REPHY,Cherbourg Port,-1.6133763097,49.682565335,NA
REPHY,Donville,-1.6291867339,48.840709461,NA
REPHY,Hacqueville 1 mille,-1.5996856034,48.8198759298,NA
REPHY,Pors Even,-3.00358027,48.79892768,NA
REPHY,Moulin Blanc (a),-4.4295602242,48.3966646734,NA
REPHY,Filières Camaret,-4.5783931181,48.2826600115,NA
REPHY,Rostellec,-4.5273925142,48.293994246,NA
REPHY,Skividen,-4.2413738667,47.7883184866,SOUTHERN_BRITTANY
REPHY,Concarneau large,-3.949922,47.833406,SOUTHERN_BRITTANY
REPHY,Trénogoat,-3.64445721415,47.7861947755,SOUTHERN_BRITTANY
REPHY,Bailleron,-2.7471747009,47.5789976866,SOUTHERN_BRITTANY
REPHY,Poudrantais,-2.5013340223,47.4681644969,SOUTHERN_BRITTANY
REPHY,Pointe du But,-2.4001471204,46.7266477503,SOUTHERN_BRITTANY
REPHY,Port Joinville,-2.3481462364,46.7293150772,SOUTHERN_BRITTANY
REPHY,Anse du Piquet,-1.6496263509,46.4341493694,BAY_OF_BISCAY
REPHY,Jacquets,-1.1837458758,44.7192821954,BAY_OF_BISCAY
REPHY,Comprian (e),-1.099283,44.680217,BAY_OF_BISCAY
REPHY,Bif,1.5945957079,50.214967193,NA
REPHY,Fécamp digue,0.3634993899,49.765667432,BAY_OF_SEINE
REPHY,Fécamp 1 mille,0.3425004242,49.7730007236,BAY_OF_SEINE
REPHY,Estuaire de l'Orne,-0.2280326686,49.2795007433,BAY_OF_SEINE
REPHY,Baie de Seine - Zone 5,-0.2500094081,49.4499084056,BAY_OF_SEINE
REPHY,Hors Baie de Seine - Zone 8,-0.18584602370000003,49.616663665999994,BAY_OF_SEINE
REPHY,Hors Baie de Seine - Zone 9,0.0516576158,49.659417586000004,BAY_OF_SEINE
REPHY,Seine 1,0.02713430475,49.47412302435,BAY_OF_SEINE
REPHY,Baie de Seine - Zone 4,-0.5083488408,49.483322967199996,BAY_OF_SEINE
REPHY,Baie de Seine - Zone 3,-0.750020793,49.4999039252,BAY_OF_SEINE
REPHY,Utah,-1.1728336826,49.4216668616,BAY_OF_SEINE
REPHY,Morsalines,-1.2915,49.568,BAY_OF_SEINE
REPHY,La Hougue,-1.2805001139,49.57666809,BAY_OF_SEINE
REPHY,Gougins,-1.2430001592,49.4851677386,BAY_OF_SEINE
REPHY,Baie de Seine - Zone 1,-0.8583567465499999,49.5166531074,BAY_OF_SEINE
REPHY,Rade de Cherbourg,-1.6080422933,49.6620648454,NA
REPHY,Digue de Querqueville,-1.662568,49.672021,NA
REPHY,FLAM - Dielette,-1.91878,49.54697,NA
REPHY,Denneville,-1.6905001384,49.2883321977,NA
REPHY,Coudeville1 mille,-1.595167397,48.8896678072,NA
REPHY,Cherrueix 1,-1.691811,48.642014,NA
REPHY,Vieux plan Ouest,-1.7765173637,48.6342023629,NA
REPHY,Baie St Michel est 6,-1.6210160633,48.6973724898,NA
REPHY,Champeaux,-1.5958335548,48.7463323912,NA
REPHY,Cancale Est,-1.795166188,48.7015005548,NA
REPHY,Saint Michel,-1.551333848,48.6646674562,NA
REPHY,Mont St Michel 2007,-1.5078322152,48.6348321906,NA
REPHY,les Hébihens,-2.207224,48.643034,NA
REPHY,Saint-Quay,-2.790715,48.635213,NA
REPHY,Loguivy,-3.041866,48.828709,NA
REPHY,Roche Jagu aval confluent Leff - 22152E06,-3.14572,48.73359,NA
REPHY,Ledano-amont - 22152E07,-3.12114,48.76417,NA
REPHY,Les 7 Îles,-3.494027,48.870718,NA
REPHY,Trébeurden,-3.5826377666666667,48.7502978,NA
REPHY,St Pol large,-3.953362,48.700559,NA
REPHY,Estuaire (aval Pennelée) - MX12,-3.8589824092,48.6109186606,NA
REPHY,Chenal aval Locquenolé Dourduff - MX13,-3.8504644643,48.6307509356,NA
REPHY,Pont de la Corde - PZ05,-3.9506083373,48.6444084083,NA
REPHY,Aval Bourg - PZ01,-3.9349301386,48.5990691091,NA
REPHY,Argenton,-4.7708463746,48.519273615,NA
REPHY,Ouessant - cale de Porz Arlan,-5.049083,48.456178,NA
REPHY,Le Diouris - 29AW03,-4.4531854259,48.5707021132,NA
REPHY,Aval anse de Keradraon - 29AW09,-4.4947698183,48.581928559,NA
REPHY,Aval Moulin de l'Enfer - AW11,-4.5265590871,48.5950668386,NA
REPHY,Trémazan en Landunvez,-4.717099,48.558068,NA
REPHY,Pointe St Yves - 29EL14,-4.3461222878,48.4051442302,NA
REPHY,Aval la grande Palud - 29EL12,-4.2864837221,48.4360140629,NA
REPHY,Anse de Kerhuon - EL15,-4.3772110518,48.4004154016,NA
REPHY,Le Passage (d),-4.3810658983,48.3922501495,NA
REPHY,Lanvéoc large,-4.44852,48.309405,NA
REPHY,Aval Guily Glaz - 29AL33,-4.1071376223,48.2074904859,NA
REPHY,Aval confluence Douffine - 29AL36,-4.1218055622,48.2449179131,NA
REPHY,Pont de Terenez - 29AL38,-4.2623570695,48.2686284803,NA
REPHY,Kervel large,-4.298194,48.10991,NA
REPHY,Pont d'Audierne - 29GY05,-4.5348537097,48.0246274522,NA
REPHY,Face moulin marée - 29PA16,-4.2119837554,47.8671007763,SOUTHERN_BRITTANY
REPHY,Cale de Rosquemo - 29PA17,-4.1952131964,47.8573024024,SOUTHERN_BRITTANY
REPHY,Pouldon SE Ile Chevalier - PA20,-4.1742759501,47.8495407952,SOUTHERN_BRITTANY
REPHY,Aval port Corniguel - 29OD08,-4.0989160743,47.9681429602,SOUTHERN_BRITTANY
REPHY,Phare du Coq - 29OD16,-4.1168855863,47.8746621012,SOUTHERN_BRITTANY
REPHY,Face anse Kergourlet - 29AV04,-3.7476530702,47.8415656904,SOUTHERN_BRITTANY
REPHY,Moulin mer - 29BE08,-3.6394307796,47.8288583301,SOUTHERN_BRITTANY
REPHY,Estuaire amont Isle - 29BE26,-3.6996916205,47.8193457123,SOUTHERN_BRITTANY
REPHY,Estuaire face porte neuve - 29BE28,-3.682618056,47.8223043216,SOUTHERN_BRITTANY
REPHY,Pont St Maurice - 29LA03,-3.5229145148,47.7975306059,SOUTHERN_BRITTANY
REPHY,Cost er Lann - 29LA05,-3.5293783528,47.8123558955,SOUTHERN_BRITTANY
REPHY,Queblen - 29LA11,-3.5423164081,47.8564351655,SOUTHERN_BRITTANY
REPHY,Amont port Kerdruc Rosbras - 29AV02,-3.7449174588,47.8201501942,SOUTHERN_BRITTANY
REPHY,Lorient 16,-3.428251,47.666741,SOUTHERN_BRITTANY
REPHY,Citadelle - 56B600,-3.3671627909,47.7119153379,SOUTHERN_BRITTANY
REPHY,Aval Le Scav - 56B510,-3.3878872358,47.8042290379,SOUTHERN_BRITTANY
REPHY,Saint Christophe - 56B530,-3.3633123302,47.7610332614,SOUTHERN_BRITTANY
REPHY,Pont du Bonhomme - 56B480,-3.3041429866,47.7636190247,SOUTHERN_BRITTANY
REPHY,Rade de Lorient - 56B560,-3.3520948008,47.7356927687,SOUTHERN_BRITTANY
REPHY,Ban-Gavres,-3.35,47.701,SOUTHERN_BRITTANY
REPHY,Etel - Pierres noires,-3.241081,47.588262,SOUTHERN_BRITTANY
REPHY,Aval Pont Lorois - 56ET16,-3.1986870799,47.6741747297,SOUTHERN_BRITTANY
REPHY,Taillefer,-3.133189,47.403454,SOUTHERN_BRITTANY
REPHY,Le Moustoir,-2.955517,47.60175,SOUTHERN_BRITTANY
REPHY,Aval Port Anna,-2.780367,47.620167,SOUTHERN_BRITTANY
REPHY,Le Passage - Noyalo,-2.722733,47.588833,SOUTHERN_BRITTANY
REPHY,Nord Dumet,-2.6565833428,47.4600674904,SOUTHERN_BRITTANY
REPHY,Bonen du Four,-2.65462,47.308548,SOUTHERN_BRITTANY
REPHY,Aval Le Diben - 56V500,-2.636617,47.508967,SOUTHERN_BRITTANY
REPHY,Aval Tréhiguier - 56V100,-2.445048691,47.4961341719,SOUTHERN_BRITTANY
REPHY,Le Petit Sécé - 56V120,-2.4918531482,47.5063672122,SOUTHERN_BRITTANY
REPHY,Pointe St Gildas large,-2.26777,47.134749,SOUTHERN_BRITTANY
REPHY,Saint-Nazaire - 44 L029 (149200),-2.1699917515,47.2898606396,SOUTHERN_BRITTANY
REPHY,Cordemais - 44 L028 (148500),-1.899666365,47.2751483955,SOUTHERN_BRITTANY
REPHY,Indre - 44 L015 (148000),-1.6745985245,47.1952990276,SOUTHERN_BRITTANY
REPHY,Ste Luce - 44L014 (137000),-1.4675724193,47.2402191603,NA
REPHY,Saint Géréon - 44 L013 (136600),-1.2050420021,47.3564550133,NA
REPHY,Bois de la Chaise large,-2.199438,47.019077,SOUTHERN_BRITTANY
REPHY,Coupelasse large,-2.0608516,47.04212,SOUTHERN_BRITTANY
REPHY,Yeu large,-2.3574691522,46.7737210278,SOUTHERN_BRITTANY
REPHY,Large pointe grosse terre,-2.040599,46.632903,SOUTHERN_BRITTANY
REPHY,Vert Bois 2,-1.290219444,45.84061389,BAY_OF_BISCAY
REPHY,Pont du Brault - S86,-1.0824814263,46.3169696498,BAY_OF_BISCAY
REPHY,Nord Saumonards,-1.2778828451,46.00594685,BAY_OF_BISCAY
REPHY,Les Fontenelles,-1.1111240789,45.9759963468,BAY_OF_BISCAY
REPHY,Côte Sauvage,-1.280463889,45.72652222,BAY_OF_BISCAY
REPHY,La Palmyre,-1.168833,45.659108335,BAY_OF_BISCAY
REPHY,Gironde - PK52 DCE,-0.726251,45.2456,BAY_OF_BISCAY
REPHY,Gironde - PK 86,-0.951261,45.5156,BAY_OF_BISCAY
REPHY,Capbreton,-1.4666976781,43.65639491655,NA
REPHY,Saint Jean de Luz,-1.6744606734,43.4101158753,NA
REPHY,Txingudi,-1.7810948709,43.360713725,NA
REPHY,Adour 2,-1.5150436017,43.5282200039,NA
REPHY,Tombelaine,-1.51529973848321,48.6512995373164,NA
REPHY,Aber Wrac'h 1,-4.5597347929,48.5990015347,NA
REPHY,Ouessant - Youc'h korz,-5.115,48.45,NA
REPHY,Sillon des Anglais,-4.2717213217,48.2963307283,NA
REPHY,Pointe Ste Barbe,-4.580702,48.282938,NA
REPHY,Rivière de Daoulas,-4.294444,48.343056,NA
REPHY,Amont pont du Guily - 29BE07,-3.6498471132569,47.8227680547174,SOUTHERN_BRITTANY
REPHY,Nord Ouest Levi,-1.48708308187489,49.7091329712331,BAY_OF_SEINE
REPHY,Ouest Lingreville,-1.61084992959164,48.9514001207001,NA
REPHY,Basse Michaud,-2.5833333333,47.2291666667,SOUTHERN_BRITTANY
REPHY,Saint Laurent,-2.718444,48.545406,NA
REPHY,Pointe du Château,-4.3193898959,48.3349977897,NA
REPHY,Jetée d'Eyrac,-1.1637443434,44.6646145518,BAY_OF_BISCAY
REPHY,Port Vendres,3.1407108476,42.5121136826,NA
REPHY,Banyuls-Sola,3.1449996874,42.488333241,NA
REPHY,Barcares,3.057233,42.874567,NA
REPHY,Filières de Gruissan,3.1345334178,43.0981257299,NA
REPHY,Filières de Fleury d'Aude,3.2480343484,43.1654616021,NA
REPHY,Parc Leucate 2,3.014656216106383,42.87315327264681,NA
REPHY,Grau Leucate,3.028153119,42.880920938133336,NA
REPHY,Salses-Leucate,3.0152030459,42.8124519387,NA
REPHY,Coudalère,3.030870092,42.8079520004,NA
REPHY,LAP - La Palme,3.0067000625,42.9667883871,NA
REPHY,Etang de l'Ayrolle,3.0686993616,43.0691244702,NA
REPHY,Milieu bages,3.0020313402,43.0736239034,NA
REPHY,Bages-Mahon,3.0038645916,43.0799573874,NA
REPHY,Etang du Grazel,3.1168662074,43.1092924558,NA
REPHY,Etang de Gruissan - Ouest,3.0831989066,43.1087921117,NA
REPHY,Etang du Grazel Ouest,3.106733,43.106517,NA
REPHY,Sète mer,3.7006861111,43.3892333,GULF_OF_LION
REPHY,Le Grau du Roi,4.0933773495,43.5283110091,GULF_OF_LION
REPHY,Espiguette,4.115774666666667,43.4983155,GULF_OF_LION
REPHY,Agde,3.5209328718,43.2589662754,GULF_OF_LION
REPHY,Aigues-Mortes,4.07380004023335,43.5404998994166,GULF_OF_LION
REPHY,Filières des Aresquiers,3.85573,43.44318,GULF_OF_LION
REPHY,Bouzigues (a),3.6642597429642856,43.436953268864286,GULF_OF_LION
REPHY,Marseillan (a),3.55397449344375,43.36504962005625,GULF_OF_LION
REPHY,Marseillan large,3.5563700817,43.3566353691,GULF_OF_LION
REPHY,Mourre-Blanc large,3.5970366659,43.4034701042,GULF_OF_LION
REPHY,Bouzigues (c),3.6497037463,43.4361379903,GULF_OF_LION
REPHY,Port de Loupian (b),3.6382035945,43.4323044612,GULF_OF_LION
REPHY,Mèze zone a,3.6253701425,43.4253041845,GULF_OF_LION
REPHY,Mèze zone b,3.5855365732,43.3964698409,GULF_OF_LION
REPHY,Montpenèdre (b),3.5713698831,43.3829694125,GULF_OF_LION
REPHY,Mèze lagunage,3.5935363812,43.4151369857,GULF_OF_LION
REPHY,Roquerols,3.6702042649,43.4296380535,GULF_OF_LION
REPHY,Thau - Crique de l'Angle,3.6705372762,43.447305102,GULF_OF_LION
REPHY,Etang du Prévost,3.9096124999999997,43.5211195,GULF_OF_LION
REPHY,Ingril sud,3.7738728247,43.4361392155,GULF_OF_LION
REPHY,Rousty,4.494486,43.457109,GULF_OF_LION
REPHY,Stes Maries 5,4.4432190083,43.4493127255,GULF_OF_LION
REPHY,Courbe,4.695475,43.3486185,GULF_OF_LION
REPHY,Ponant embouchure,4.1007102945,43.5569783674,GULF_OF_LION
REPHY,Comète,4.2397147006,43.466144435,GULF_OF_LION
REPHY,Carteau 14,4.8792288294,43.38281552,GULF_OF_LION
REPHY,Antoine,4.8457282509,43.378148429,GULF_OF_LION
REPHY,Carteau 1,4.8745619704,43.3883155936,GULF_OF_LION
REPHY,Carteau 64,4.9012293407,43.3786489758,GULF_OF_LION
REPHY,Grand Rhône,4.8026672593,43.3858331785,GULF_OF_LION
REPHY,Anse de Carteau 2,4.88429,43.37678,GULF_OF_LION
REPHY,Fos,4.95058036612352,43.3506497686582,GULF_OF_LION
REPHY,Jai,5.1634005918,43.4129855772,GULF_OF_LION
REPHY,Varage,5.0225634318,43.4694854461,GULF_OF_LION
REPHY,Chamas,5.0733967631,43.5251538132,GULF_OF_LION
REPHY,Vitrolles,5.2277342598,43.4653206647,GULF_OF_LION
REPHY,Berre sud,5.1063326897,43.4185001478,GULF_OF_LION
REPHY,Couronne,5.0530666765,43.3238159226,GULF_OF_LION
REPHY,18A - Carry,5.1591671497,43.3220002361,GULF_OF_LION
REPHY,Endoume,5.2916662264,43.2416664416,GULF_OF_LION
REPHY,Bain des Dames,5.3621676597,43.2400004127,GULF_OF_LION
REPHY,Morgiret - Frioul,5.3048324181,43.2828324539,GULF_OF_LION
REPHY,Endoume plage,5.3497733627,43.2800761576,GULF_OF_LION
REPHY,Cap Canaille,5.5528323998,43.187332763,GULF_OF_LION
REPHY,21E - ile embiez,5.7378330309,43.0778338339,GULF_OF_LION
REPHY,Cortiou,5.380869,43.1964081673707,GULF_OF_LION
REPHY,Lazaret (a),5.9064212393,43.0873189621,GULF_OF_LION
REPHY,Anse Méjean,5.9726672172,43.1073333493,GULF_OF_LION
REPHY,Oursinières,5.9999995613,43.1000001158,GULF_OF_LION
REPHY,Bregaillon,5.8854205051,43.1051524801,GULF_OF_LION
REPHY,Mourillon (a),5.9325879538,43.1144864587,GULF_OF_LION
REPHY,22B - Toulon gde rade,5.9546673528,43.0789992381,GULF_OF_LION
REPHY,Ile du soleil,6.4196678298,43.0148322181,NA
REPHY,Bouye,6.6671000967,43.2688300173,NA
REPHY,27B - Frejus est,6.9048322696,43.4221672533,NA
REPHY,Villefranche,7.3156061302,43.6840118704,NA
REPHY,29E - Antibes sud,7.14415007040836,43.5606165761416,NA
REPHY,Cap Corse,9.4778331303,42.9908326994,NA
REPHY,Sud Bastia,9.4911673822,42.6411668685,NA
REPHY,Littoral Bastiais,9.46304968819152,42.6758298129149,NA
REPHY,BIS - Biguglia sud,9.4858333015,42.5765004279,NA
REPHY,Diana mer,9.5723451755,42.1489987333,NA
REPHY,Diana centre,9.53070901755,42.12965670625,NA
REPHY,Urbino Radeau,9.4726779591,42.0504958029,NA
REPHY,Etang d'Urbino - Centre,9.63667965035,42.0615062329,NA
REPHY,Palu,9.4087,41.94654,NA
REPHY,Manza,9.2196824676,41.413647166,NA
REPHY,Pointe Sant'Amanza,9.2658331823,41.4291662087,NA
REPHY,Golfe de Porto Vecchio,9.31058941862804,41.6096952323476,NA
REPHY,Golfe de Sant'Amanza 1,9.23259203379601,41.4202504526252,NA
REPHY,Pianotolli,9.0606784149,41.4656468575,NA
REPHY,Campomoro,8.8158374939,41.6334814959,NA
REPHY,Pianottoli - Bruzzi,9.0233161374,41.4553996619,NA
REPHY,Capitello  2,8.757332202,41.8973197457,NA
REPHY,Calvi,8.7255006828,42.5805005138,NA
REPHY,Cargèse,8.5943335774,42.1263330829,NA
REPHY,Goulet de Bonifacio,9.1533101991551,41.3900301750151,NA
REPHY,Golfe de Saint Florent,9.3084902434118,42.7081804465902,NA
REPHY,Bande littorale Aude - Nord de Port La Nouvelle 1,3.131617171555018,43.116533482196736,NA
REPHY,Avant port de Leucate - Sud,3.0322355053964287,42.861805348778574,NA
REPHY,Etang de l'Ayrolle - Grau,3.0753465,43.06028225,NA
REPHY,Marseillan plage-est,3.5617219444444443,43.321713055555556,GULF_OF_LION
REPHY,Le Grand Travers Ouest,4.036375335985714,43.55602550350714,GULF_OF_LION
REPHY,Creusot,3.702637,43.420926,GULF_OF_LION
REPHY,Listel,3.61106341,43.38875155,GULF_OF_LION
REPHY,Etang de Vic - Puech Long,3.8435,43.505683,GULF_OF_LION
REPHY,Etang de Vic - Passe,3.8210924528301886,43.468350150943394,GULF_OF_LION
REPHY,Etang du Ponant - VVF,4.101667,43.559067,GULF_OF_LION
REPHY,Le Bouquet,5.12263025548179,43.4892898813116,GULF_OF_LION
REPHY,Le Jaï,5.15436028968014,43.4081301548984,GULF_OF_LION
REPHY,Massane,5.0209404546369,43.4687095151881,GULF_OF_LION
REPHY,BIN - Biguglia nord,9.4523333281,42.6351664007,NA
SOMLIT,Eyrac,-1.14313,44.6641,BAY_OF_BISCAY
SOMLIT,Sola,3.145,42.4883,NA
SOMLIT,Portzic,-4.552,48.3589,NA
SOMLIT,pk 86,-0.95,45.5167,BAY_OF_BISCAY
SOMLIT,pk 52,-0.725,45.2467,BAY_OF_BISCAY
SOMLIT,pk 30,-0.63833,45.0683,BAY_OF_BISCAY
SOMLIT,Frioul,5.29167,43.2417,GULF_OF_LION
SOMLIT,Estacade,-3.98278,48.7322,NA
SOMLIT,Point B,7.31667,43.6833,NA
SOMLIT,Point C,1.52139,50.6875,NA
SOMLIT,Point L,1.41667,50.6875,NA
SOMLIT,Astan,-3.9375,48.7778,NA
SOMLIT,Bouee 13,-1.2377,44.6334,BAY_OF_BISCAY
SOMLIT,Comprian,-1.10207,44.6782,BAY_OF_BISCAY
SOMLIT,Luc-sur-Mer,-0.346606,49.3188,BAY_OF_SEINE
SOMLIT,Bizeux,-2.03333,48.6333,NA
SOMLIT,Antioche,-1.30833,46.0842,BAY_OF_BISCAY
SOMLIT,Le Buron,-2.06778,48.6589,NA
SOMLIT,Smile,-0.333041,49.337,BAY_OF_SEINE
SOMLIT,Cézembre,-2.06722,48.6861,NA
SOMLIT,Sete,3.66167,43.3267,GULF_OF_LION
SOMLIT,Lanvéoc,-4.453,48.2942,NA
